time	hr	pace	altitude
0:00:00	0	7:47	606
0:01:00	0	7:47	606
0:02:00	0	8:15	609
0:03:00	0	8:46	612
0:04:00	0	4:09	608
0:05:00	0	6:09	607
0:06:00	0	7:06	612
0:07:00	0	11:05	626
0:08:00	0	11:55	641
0:09:00	0	11:38	655
0:10:00	0	15:05	668
0:11:00	0	14:12	680
0:12:00	0	10:29	690
0:13:00	0	10:43	702
0:14:00	0	12:32	717
0:15:00	0	10:58	731
0:16:00	0	10:29	746
0:17:00	0	10:51	760
0:18:00	0	9:28	772
0:19:00	0	13:59	787
0:20:00	0	11:29	802
0:21:00	0	12:04	815
0:22:00	0	13:13	831
0:23:00	0	11:05	843
0:24:00	0	8:06	857
0:25:00	0	9:11	868
0:26:00	0	7:39	879
0:27:00	0	8:41	893
0:28:00	0	9:45	906
0:29:00	0	9:33	918
0:30:00	0	7:54	929
0:31:00	0	41:59	940
0:32:00	0	8:51	950
0:33:00	0	9:11	965
0:34:00	0	13:13	978
0:35:00	0	9:01	991
0:36:00	0	10:51	1002
0:37:00	0	10:43	1016
0:38:00	0	12:13	1029
0:39:00	0	10:23	1041
0:40:00	0	9:17	1054
0:41:00	0	7:51	1068
0:42:00	0	11:21	1077
0:43:00	0	7:51	1090
0:44:00	0	10:23	1102
0:45:00	0	11:21	1115
0:46:00	0	10:51	1129
0:47:00	0	9:22	1144
0:48:00	0	8:46	1159
0:49:00	0	9:51	1172
0:50:00	0	10:09	1187
0:51:00	0	11:13	1202
0:52:00	0	10:58	1216
0:53:00	0	9:57	1228
0:54:00	0	9:17	1243
0:55:00	0	11:55	1256
0:56:00	0	10:23	1267
0:57:00	0	10:51	1279
0:58:00	0	8:11	1291
0:59:00	0	8:56	1304
1:00:00	0	11:13	1314
1:01:00	0	11:29	1328
1:02:00	0	8:23	1341
1:03:00	0	8:46	1353
1:04:00	0	8:56	1365
1:05:00	0	9:17	1376
1:06:00	0	10:16	1389
1:07:00	0	9:33	1404
1:08:00	0	8:28	1418
1:09:00	0	8:56	1434
1:10:00	0	11:55	1449
1:11:00	0	9:22	1461
1:12:00	0	9:51	1475
1:13:00	0	9:17	1488
1:14:00	0	10:16	1502
1:15:00	0	10:23	1516
1:16:00	0	8:37	1529
1:17:00	0	11:21	1542
1:18:00	0	9:01	1556
1:19:00	0	9:11	1571
1:20:00	0	7:54	1586
1:21:00	0	10:43	1600
1:22:00	0	7:39	1613
1:23:00	0	6:45	1626
1:24:00	0	5:53	1633
1:25:00	0	0:00	1645
1:26:00	0	4:54	1656
1:27:00	0	4:32	1662
1:28:00	0	16:38	1661
1:29:00	0	6:48	1660
1:30:00	0	4:15	1670
1:31:00	0	4:08	1675
1:32:00	0	2:53	1667
1:33:00	0	4:38	1640
1:34:00	0	4:02	1619
1:35:00	0	2:32	1579
1:36:00	0	3:26	1531
1:37:00	0	2:30	1486
1:38:00	0	2:35	1431
1:39:00	0	2:32	1383
1:40:00	0	2:06	1341
1:41:00	0	2:31	1295
1:42:00	0	3:19	1243
1:43:00	0	2:37	1186
1:44:00	0	1:35	1132
1:45:00	0	18:34	1083
1:46:00	0	3:17	1055
1:47:00	0	2:10	1012
1:48:00	0	4:08	958
1:49:00	0	2:12	914
1:50:00	0	22:59	871
1:51:00	0	2:19	848
1:52:00	0	3:12	799
1:53:00	0	2:36	749
1:54:00	0	1:14	684
1:55:00	0	2:03	618
1:56:00	0	10:36	605
1:57:00	0	8:46	607
1:58:00	0	3:37	605
1:59:00	0	8:51	609
2:00:00	0	10:58	623
2:01:00	0	10:43	640
2:02:00	0	11:13	655
2:03:00	0	12:42	671
2:04:00	0	8:32	687
2:05:00	0	11:29	702
2:06:00	0	10:16	719
2:07:00	0	11:21	736
2:08:00	0	8:19	753
2:09:00	0	10:51	767
2:10:00	0	10:51	783
2:11:00	0	10:58	798
2:12:00	0	9:39	815
2:13:00	0	6:56	831
2:14:00	0	8:19	847
2:15:00	0	8:02	861
2:16:00	0	7:58	874
2:17:00	0	8:02	889
2:18:00	0	8:37	904
2:19:00	0	7:47	918
2:20:00	0	8:56	932
2:21:00	0	9:45	947
2:22:00	0	9:01	960
2:23:00	0	9:22	974
2:24:00	0	8:32	990
2:25:00	0	10:09	1005
2:26:00	0	9:33	1021
2:27:00	0	9:22	1034
2:28:00	0	8:41	1049
2:29:00	0	6:26	1064
2:30:00	0	8:19	1077
2:31:00	0	9:33	1092
